"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Flow_ID",12.9163555278488,12.9294723366714,10.8177122492993,14.9439166784726,1,"Confirmed"
"Source_IP",16.0852630625549,16.0691842452369,14.3838222727604,18.413399161619,1,"Confirmed"
"Source_Port",7.56702342726338,7.56306095633266,5.87116935770254,9.01723512446477,1,"Confirmed"
"Destination_IP",11.2616597637639,11.244185046383,9.5135863223586,14.0010783152696,1,"Confirmed"
"Destination_Port",11.689658044585,11.7065861851331,9.93788507387486,13.4861348580868,1,"Confirmed"
"Protocol",2.05467344255294,2.01579784265184,1.00751347917143,3.3710774195219,0.0661322645290581,"Rejected"
"Timestamp",7.52457920252027,7.54795798846451,5.8395068637052,9.02592811739555,1,"Confirmed"
"Flow_Duration",4.00985682306134,4.02852131677898,2.74331352654323,5.40413597714053,0.997995991983968,"Confirmed"
"Total_Fwd_Packets",4.79384052437262,4.75969495009874,3.20638437368323,6.27839522097971,1,"Confirmed"
"Total_Backward_Packets",3.25816913244924,3.25905385627919,2.18463886943228,4.52137298550076,0.957915831663327,"Confirmed"
"Total_Length_of_Fwd_Packets",8.06762481655582,8.06506961474823,6.22287910228759,9.58525313235515,1,"Confirmed"
"Total_Length_of_Bwd_Packets",4.65080761650579,4.64538565462929,3.32453229848175,5.89146379740729,1,"Confirmed"
"Fwd_Packet_Length_Max",10.5318462249202,10.5246464789243,9.10083952230305,12.0292419197522,1,"Confirmed"
"Fwd_Packet_Length_Min",2.65423152182788,2.6471480156309,1.32173787202563,4.25860516918013,0.731462925851703,"Confirmed"
"Fwd_Packet_Length_Mean",9.5062883283836,9.49453798365944,7.64790518365649,11.1616863521448,1,"Confirmed"
"Fwd_Packet_Length_Std",6.75356932670613,6.74233070004943,5.02996740648675,8.47963233984165,1,"Confirmed"
"Bwd_Packet_Length_Max",5.24052693213714,5.23747857868575,3.56804684036193,6.71994241979615,1,"Confirmed"
"Bwd_Packet_Length_Min",4.22279247131027,4.26058227234687,2.44627415849793,5.54115065538125,0.997995991983968,"Confirmed"
"Bwd_Packet_Length_Mean",6.05241994185773,6.05415162641961,4.59385579795916,7.72250077212353,1,"Confirmed"
"Bwd_Packet_Length_Std",4.98787472026771,5.00072597550506,3.62561529118992,6.37149149785305,1,"Confirmed"
"Flow_Bytes_s",3.46867272835795,3.44200266039163,1.917014862617,5.37461744737319,0.929859719438878,"Confirmed"
"Flow_Packets_s",3.39695294283376,3.4030994835359,2.28613701666427,4.47918840514258,0.973947895791583,"Confirmed"
"Flow_IAT_Mean",3.46957418204762,3.47537132742225,1.97394544887256,4.6906755456058,0.961923847695391,"Confirmed"
"Flow_IAT_Std",3.92132737818587,3.95089058164448,2.7160473549603,5.26316924224453,0.995991983967936,"Confirmed"
"Flow_IAT_Max",3.64239784183135,3.62820955501659,2.42580913693849,4.93069677767974,0.985971943887776,"Confirmed"
"Flow_IAT_Min",2.88547199947625,2.8687126173652,1.72738421624052,3.98110418477879,0.857715430861723,"Confirmed"
"Fwd_IAT_Total",5.43377510696555,5.45797452181019,3.99782684475373,6.89551545989567,1,"Confirmed"
"Fwd_IAT_Mean",4.56978619346358,4.58472192624338,3.10634708440738,5.97146410756469,1,"Confirmed"
"Fwd_IAT_Std",4.93990191764621,4.91297523931999,3.74743631507409,6.52292581097952,1,"Confirmed"
"Fwd_IAT_Max",5.25159980373863,5.28698881155075,3.46737710938879,6.52101699557579,1,"Confirmed"
"Fwd_IAT_Min",4.18170772670088,4.34112393202492,1.9933968622321,6.39875422245203,0.981963927855711,"Confirmed"
"Bwd_IAT_Total",4.54829928358139,4.56495566793442,2.98790568700754,6.38056477784169,0.997995991983968,"Confirmed"
"Bwd_IAT_Mean",3.98714914559395,3.97922622595132,2.37174995098845,5.14915047853246,0.991983967935872,"Confirmed"
"Bwd_IAT_Std",2.95393961283238,2.95384986712332,1.47836268334161,4.5933665655928,0.849699398797595,"Confirmed"
"Bwd_IAT_Max",4.54140008430625,4.54043150688028,3.292816710274,5.78060103638456,1,"Confirmed"
"Bwd_IAT_Min",2.4823893656677,1.88967796321828,1.12112229041521,4.75516466011442,0.432865731462926,"Tentative"
"Fwd_PSH_Flags",2.19284753997588,2.23789025154337,0,3.87919043960018,0.470941883767535,"Tentative"
"Bwd_PSH_Flags",0,0,0,0,0,"Rejected"
"Fwd_URG_Flags",0,0,0,0,0,"Rejected"
"Bwd_URG_Flags",0,0,0,0,0,"Rejected"
"Fwd_Header_Length",4.88898329702876,4.89085987685575,3.38472888012123,6.29374924371596,1,"Confirmed"
"Bwd_Header_Length",3.85283681163707,3.84231756140762,2.78600369261054,5.2941377481896,0.995991983967936,"Confirmed"
"Fwd_Packets_s",3.50874264477826,3.53439393475265,2.45774956370347,4.7454370603874,0.977955911823647,"Confirmed"
"Bwd_Packets_s",2.65541155719873,2.6613045663258,1.56661462151971,3.92117520231314,0.761523046092184,"Confirmed"
"Min_Packet_Length",2.43498328759486,2.4425202688045,1.07793508246836,3.70178884754283,0.619238476953908,"Confirmed"
"Max_Packet_Length",4.55182544673746,4.53532555807239,2.90852488128661,5.98886331929025,1,"Confirmed"
"Packet_Length_Mean",4.93898054090735,4.93853011862633,3.55225290341607,6.70771699748249,1,"Confirmed"
"Packet_Length_Std",4.52003627730143,4.54561469174892,3.27052624826219,5.74625910888614,1,"Confirmed"
"Packet_Length_Variance",4.50442364917899,4.47715041151611,3.35270338468125,6.09602299744404,1,"Confirmed"
"FIN_Flag_Count",3.27452916376687,3.27414595587687,2.2243996908643,5.30837779177939,0.957915831663327,"Confirmed"
"SYN_Flag_Count",2.21665093839806,2.23485429974754,1.00100150250438,4.12718892376828,0.490981963927856,"Tentative"
"RST_Flag_Count",0.0715001073217417,0,0,1.00100150250438,0,"Rejected"
"PSH_Flag_Count",1.95896173651725,1.94161490477994,1.16450608696117,2.7631683417612,0.0440881763527054,"Rejected"
"ACK_Flag_Count",2.10053026930364,2.07833802946185,1.12793526267332,3.08975323991479,0.102204408817635,"Rejected"
"URG_Flag_Count",4.08423716523449,4.08086798737196,2.56173363725974,5.53204283790702,0.997995991983968,"Confirmed"
"CWE_Flag_Count",0,0,0,0,0,"Rejected"
"ECE_Flag_Count",0,0,0,0,0,"Rejected"
"Down.Up_Ratio",2.21116576806313,2.16501773825371,1.24602208332198,3.70579147436747,0.43687374749499,"Tentative"
"Average_Packet_Size",5.19634097810304,5.19237309440088,3.78064430111568,6.96065107142071,1,"Confirmed"
"Avg_Fwd_Segment_Size",9.52275105340144,9.51631133545738,7.90214595386967,11.3857194944329,1,"Confirmed"
"Avg_Bwd_Segment_Size",6.0404039800285,6.0489986933716,4.63678463846678,7.61295953130204,1,"Confirmed"
"Fwd_Header_Length1",4.90736659091747,4.90374553084151,3.66268116355184,6.46560611068065,1,"Confirmed"
"Fwd_Avg_Bytes.Bulk",0,0,0,0,0,"Rejected"
"Fwd_Avg_Packets.Bulk",0,0,0,0,0,"Rejected"
"Fwd_Avg_Bulk_Rate",0,0,0,0,0,"Rejected"
"Bwd_Avg_Bytes.Bulk",0,0,0,0,0,"Rejected"
"Bwd_Avg_Packets.Bulk",0,0,0,0,0,"Rejected"
"Bwd_Avg_Bulk_Rate",0,0,0,0,0,"Rejected"
"Subflow_Fwd_Packets",4.73982387491195,4.74456708622877,3.66247370834469,5.96537730314738,1,"Confirmed"
"Subflow_Fwd_Bytes",8.07271015087771,8.07403386309635,6.48013908435608,9.37754771134393,1,"Confirmed"
"Subflow_Bwd_Packets",3.22872374408165,3.23448356108225,2.17232099668542,4.15283957676101,0.955911823647295,"Confirmed"
"Subflow_Bwd_Bytes",4.63759541922992,4.62975100463848,3.34734707896585,5.96638945595864,1,"Confirmed"
"Init_Win_bytes_forward",7.1947186011803,7.21151491870527,5.89307840205719,9.07640303125152,1,"Confirmed"
"Init_Win_bytes_backward",6.58544483029619,6.55430550145583,4.96364040072125,8.42129060278983,1,"Confirmed"
"act_data_pkt_fwd",6.271398781338,6.30394404418871,4.8316249528657,7.68716497510218,1,"Confirmed"
"min_seg_size_forward",5.39485624107369,5.43051894931018,3.69997341322865,7.00386396071502,1,"Confirmed"
"Active_Mean",1.83497526585775,1.8156356099218,1.04244345290303,2.86349152903784,0.0160320641282565,"Rejected"
"Active_Std",2.70298345783478,2.69505347045952,0,4.25789180596535,0.725450901803607,"Confirmed"
"Active_Max",1.74404357465494,1.70593124414269,1.10341382567903,2.43583390624034,0.00400801603206413,"Rejected"
"Active_Min",1.78524442117125,1.75355998037392,1.24803203666855,2.70827590596465,0.0200400801603206,"Rejected"
"Idle_Mean",2.82263512104093,2.78868895166632,1.26218476215697,4.76104585939009,0.801603206412826,"Confirmed"
"Idle_Std",1.74605815147039,1.72390944771055,1.16794947670093,2.55343045732624,0.0120240480961924,"Rejected"
"Idle_Max",2.92018885519992,2.86283350080232,1.5437572934496,4.84767650371766,0.833667334669339,"Confirmed"
"Idle_Min",2.869914921329,2.83046046222314,1.52585603833452,4.66362895938647,0.79559118236473,"Confirmed"
"Label",22.7373370002086,22.7001464643499,19.5647023648979,25.2602925240679,1,"Confirmed"
