"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Destination_Port",11.689658044585,11.7065861851331,9.93788507387486,13.4861348580868,1,"Confirmed"
"Fwd_Packet_Length_Max",10.5318462249202,10.5246464789243,9.10083952230305,12.0292419197522,1,"Confirmed"
"Avg_Fwd_Segment_Size",9.52275105340144,9.51631133545738,7.90214595386967,11.3857194944329,1,"Confirmed"
"Fwd_Packet_Length_Mean",9.5062883283836,9.49453798365944,7.64790518365649,11.1616863521448,1,"Confirmed"
"Subflow_Fwd_Bytes",8.07271015087771,8.07403386309635,6.48013908435608,9.37754771134393,1,"Confirmed"
"Total_Length_of_Fwd_Packets",8.06762481655582,8.06506961474823,6.22287910228759,9.58525313235515,1,"Confirmed"
"Source_Port",7.56702342726338,7.56306095633266,5.87116935770254,9.01723512446477,1,"Confirmed"
"Init_Win_bytes_forward",7.1947186011803,7.21151491870527,5.89307840205719,9.07640303125152,1,"Confirmed"
"Fwd_Packet_Length_Std",6.75356932670613,6.74233070004943,5.02996740648675,8.47963233984165,1,"Confirmed"
"Init_Win_bytes_backward",6.58544483029619,6.55430550145583,4.96364040072125,8.42129060278983,1,"Confirmed"
"act_data_pkt_fwd",6.271398781338,6.30394404418871,4.8316249528657,7.68716497510218,1,"Confirmed"
"Bwd_Packet_Length_Mean",6.05241994185773,6.05415162641961,4.59385579795916,7.72250077212353,1,"Confirmed"
"Avg_Bwd_Segment_Size",6.0404039800285,6.0489986933716,4.63678463846678,7.61295953130204,1,"Confirmed"
"Fwd_IAT_Total",5.43377510696555,5.45797452181019,3.99782684475373,6.89551545989567,1,"Confirmed"
"min_seg_size_forward",5.39485624107369,5.43051894931018,3.69997341322865,7.00386396071502,1,"Confirmed"
"Fwd_IAT_Max",5.25159980373863,5.28698881155075,3.46737710938879,6.52101699557579,1,"Confirmed"
"Bwd_Packet_Length_Max",5.24052693213714,5.23747857868575,3.56804684036193,6.71994241979615,1,"Confirmed"
"Average_Packet_Size",5.19634097810304,5.19237309440088,3.78064430111568,6.96065107142071,1,"Confirmed"
"Bwd_Packet_Length_Std",4.98787472026771,5.00072597550506,3.62561529118992,6.37149149785305,1,"Confirmed"
"Packet_Length_Mean",4.93898054090735,4.93853011862633,3.55225290341607,6.70771699748249,1,"Confirmed"
